match_id,season,date,team1,team2,venue,city,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match,match_number,result_type,result_margin
2013_16,2013,2013-04-13,CSK,RCB,MA Chidambaram Stadium,Chennai,CSK,field,CSK,0,4,RA Jadeja,16,wickets,4
2013_17,2013,2013-04-14,RR,KXIP,Sawai Mansingh Stadium,Jaipur,RR,field,RR,0,6,JP Faulkner,17,wickets,6
2013_25,2013,2013-04-19,SRH,KXIP,Rajiv Gandhi Intl. Stadium,Hyderabad,KXIP,bat,SRH,0,5,GH Vihari,25,wickets,5
2013_26,2013,2013-04-20,RCB,RR,M Chinnaswamy Stadium,Bangalore,RCB,field,RCB,0,7,R Vinay Kumar,26,wickets,7
2013_27,2013,2013-04-20,KKR,CSK,Eden Gardens,Kolkata,KKR,bat,CSK,0,4,RA Jadeja,27,wickets,4
2013_29,2013,2013-04-21,KXIP,PW,PCA IS Bindra Stadium,Chandigarh,KXIP,field,KXIP,0,7,DA Miller,29,wickets,7
2013_28,2013,2013-04-21,DD,MI,Arun Jaitley Stadium,Delhi,MI,bat,DD,0,9,V Sehwag,28,wickets,9
2013_30,2013,2013-04-22,CSK,RR,MA Chidambaram Stadium,Chennai,RR,bat,CSK,0,5,MEK Hussey,30,wickets,5
2013_32,2013,2013-04-23,DD,KXIP,Arun Jaitley Stadium,Delhi,KXIP,field,KXIP,0,5,Harmeet Singh,32,wickets,5
2013_33,2013,2013-04-24,KKR,MI,Eden Gardens,Kolkata,KKR,bat,MI,0,5,DR Smith,33,wickets,5
2013_34,2013,2013-04-25,CSK,SRH,MA Chidambaram Stadium,Chennai,SRH,bat,CSK,0,5,MS Dhoni,34,wickets,5
2013_35,2013,2013-04-26,KKR,KXIP,Eden Gardens,Kolkata,KXIP,bat,KKR,0,6,JH Kallis,35,wickets,6
2013_36,2013,2013-04-27,RR,SRH,Sawai Mansingh Stadium,Jaipur,SRH,bat,RR,0,8,JP Faulkner,36,wickets,8
2013_41,2013,2013-04-29,RR,RCB,Sawai Mansingh Stadium,Jaipur,RR,field,RR,0,4,SV Samson,41,wickets,4
2013_43,2013,2013-05-01,DD,KKR,SVNS Intl. Stadium,Raipur,KKR,bat,DD,0,7,DA Warner,43,wickets,7
2013_44,2013,2013-05-01,SRH,MI,Rajiv Gandhi Intl. Stadium,Hyderabad,MI,bat,SRH,0,7,I Sharma,44,wickets,7
